Course,Term,Title,Instructor
CS-357,2018-fa,Numerical Methods I,"Silva, Mariana T"
ECE-408,2018-fa,Applied Parallel Programming,"Patel, Sanjay J"
CS-527,2017-fa,Topics in Software Engineering,"Marinov, Darko"
CS-525,2018-sp,Advanced Distributed Systems,"Gupta, Indranil"
ECE-401,2017-sp,Signal and Image Analysis,"Hasegawa-Johnso, Mark A"
ECE-403,2014-sp,Audio Engineering,"Smaragdis, Paris"
ECE-402,2018-fa,Electronic Music Synthesis,"Haken, Lippold"
CS-528,2013-sp,Obj-Oriented Progrmg & Design,"Johnson, Ralph E"
ECE-481,2018-sp,Nanotechnology,"Lyding, Joseph W"
ECE-480,2018-fa,Magnetic Resonance Imaging,"Liang, Zhi-Pei"
ECE-483,2018-sp,Analog IC Design,"Hanumolu, Pavan Kumar"
ECE-482,2018-fa,Digital IC Design,"Shanbhag, Naresh R"
ECE-485,2017-fa,MEMS Devices & Systems,"Liu, Gang L"
ECE-486,2018-fa,Control Systems,"Raginsky, Maxim"
CS-447,2018-fa,Natural Language Processing,"Hockenmaier, Julia C"
CS-446,2018-fa,Machine Learning,"Koyejo, Oluwasanmi O"
CS-445,2017-fa,Computational Photography,"Hoiem, Derek W"
ECE-333,2018-fa,Green Electric Energy,"Gross, George"
ECE-120,2018-fa,Introduction to Computing,"Kindratenko, Volodymyr"
CS-440,2018-fa,Artificial Intelligence,"Fleck, Margaret M"
ECE-190,2013-fa,Intro to Computing Systems,"Hu, Yih-Chun"
CS-196,2018-fa,Freshman Honors,"Challen, Geoffrey W"
CS-523,2017-fa,Advanced Operating Systems,"Campbell, R H"
CS-199,2018-fa,Real World Cases Scient Comput,"Silva, Mariana T"
ECE-458,2010-sp,Applic of Radio Wave Propag,"Kudeki, Erhan"
ECE-510,2013-fa,Micro and Nanolithography,"Jain, Kanti"
CS-126,2018-fa,Software Design Studio,"Evans, Graham C"
ECE-535,2016-fa,Theory of Semicond & Devices,"Leburton, Jean-Pierre"
CS-598,2018-fa,Foundations of Data Curation,"Renear, Allen H"
ECE-536,2011-sp,Integ Optics & Optoelectronics,"Chuang, Shun L"
ECE-532,2013-fa,Compnd Semicond & Diode Lasers,"Choquette, Kent D"
CS-533,2016-sp,Parallel Computer Architecture,"Torrellas, Josep"
CS-538,2018-sp,Advanced Computer Networks,"Godfrey, Philip B"
ECE-553,2013-sp,Optimum Control Systems,"Liberzon, Daniel M"
ECE-551,2018-fa,Digital Signal Processing II,"Dokmanic, Ivan"
ECE-550,2016-sp,Advanced Robotic Planning,"Hutchinson, Seth A"
CS-231,2011-fa,Computer Architecture I,"Garzaran, Maria J"
CS-438,2018-fa,Communication Networks,"Roy Choudhury, Romit"
CS-233,2018-fa,Computer Architecture,"Herman, Geoffrey L"
ECE-329,2018-fa,Fields and Waves I,"Waldrop, Lara"
ECE-498,2018-fa,eCrime & Internet Serv Abuse,"Levchenko, Kirill I"
CS-433,2018-fa,Computer System Organization,"Adve, Sarita V"
CS-431,2018-sp,Embedded Systems,"Sha, Lui R"
ECE-317,2018-sp,ECE Technology & Management,"He, Wei"
CS-125,2018-fa,Intro to Computer Science,"Challen, Geoffrey W"
ECE-490,2018-fa,Introduction to Optimization,"Hu, Bin"
ECE-451,2017-sp,Adv Microwave Measurements,"Schutt-Aine, Jose E"
ECE-528,2017-sp,Analysis of Nonlinear Systems,"Stipanovic, Dusan M"
ECE-520,2018-fa,EM Waves & Radiating Systems,"Jin, Jianming"
ECE-526,2016-fa,Distributed Algorithms,"Vaidya, Nitin H"
ECE-527,2018-fa,System-On-Chip Design,"Chen, Deming"
CS-296,2018-fa,Honors Course,"Fagen-Ulmschnei, Wade A"
ECE-544,2018-fa,Pattern Recognition,"Schwing, Alexander G"
ECE-546,2018-sp,Advanced Signal Integrity,"Schutt-Aine, Jose E"
ECE-547,2017-sp,Topics in Image Processing,"Schwing, Alexander G"
ECE-541,2018-fa,Computer Systems Analysis,"Noureddine, Mohammad"
ECE-543,2018-sp,Statistical Learning Theory,"Raginsky, Maxim"
CS-429,2018-sp,"Software Engineering II, ACP","Marinov, Darko"
CS-428,2016-sp,Software Engineering II,"Xie, Tao"
CS-544,2014-sp,Optimiz in Computer Vision,"Forsyth, David A"
ECE-488,2018-fa,Compound Semicond & Devices,"Dallesasse, John M"
CS-421,2018-fa,Progrmg Languages & Compilers,"Misailovic, Sasa"
ECE-310,2018-fa,Digital Signal Processing,"Shomorony, Ilan"
ECE-313,2018-fa,Probability with Engrg Applic,"Veeravalli, Venugopal V"
CS-422,2013-fa,Programming Language Design,"Rosu, Grigore"
CS-425,2018-fa,Distributed Systems,"Gupta, Indranil"
CS-424,2018-fa,Real-Time Systems,"Sha, Lui R"
CS-427,2018-fa,Software Engineering I,"Xie, Tao"
ECE-316,2018-fa,Ethics and Engineering,"Hillmer, Philip M"
ECE-391,2018-fa,Computer Systems Engineering,"Kalbarczyk, Zbigniew T"
ECE-343,2018-sp,Electronic Circuits Laboratory,"Radhakrishnan, Chandrasek"
CS-398,2018-sp,Applied Cloud Computing,"Brunner, Robert J"
ECE-395,2017-sp,Advanced Digital Projects Lab,"Haken, Lippold"
ECE-398,2018-fa,Making Sense of Big Data,"Do, Minh N"
ECE-416,2018-sp,Biosensors,"Cunningham, Brian T"
ECE-417,2018-fa,Multimedia Signal Processing,"Hasegawa-Johnso, Mark A"
ECE-410,2011-sp,Digital Signal Processing I,"Singer, Andrew C"
ECE-411,2018-fa,Computer Organization & Design,"Kumar, Rakesh"
ECE-330,2018-fa,Power Ckts & Electromechanics,"Schuh, Jonathon K"
ECE-418,2017-sp,Image & Video Processing,"Moulin, Pierre"
CS-414,2014-sp,Multimedia Systems,"Nahrstedt, Klara"
ECE-307,2016-sp,Techniques for Engrg Decisions,"Gross, George"
ECE-304,2018-fa,Photonic Devices,"Choquette, Kent D"
CS-410,2018-fa,Text Information Systems,"Zhai, Chengxiang"
CS-411,2018-fa,Database Systems,"Alawini, Abdussalam A"
CS-412,2018-fa,Introduction to Data Mining,"Li, Qi"
CS-418,2018-fa,Interactive Computer Graphics,"Hart, John C"
CS-419,2018-fa,Production Computer Graphics,"Shaffer, Eric G"
ECE-576,2014-sp,Power System Dynm & Stability,"Overbye, Thomas J"
CS-555,2018-sp,Numerical Methods for PDEs,"Fischer, Paul"
CS-554,2017-fa,Parallel Numerical Algorithms,"Solomonik, Edgar V"
CS-556,2014-fa,Iterative & Multigrid Methods,"Olson, Luke"
ECE-534,2018-fa,Random Processes,"Milenkovic, Olgica"
CS-519,2017-fa,Scientific Visualization,"Shaffer, Eric G"
ECE-385,2018-fa,Digital Systems Laboratory,"Cheng, Zuofu"
ECE-380,2018-fa,Biomedical Imaging,"Boppart, Stephen A"
ECE-462,2018-sp,Logic Synthesis,"Chen, Deming"
ECE-461,2018-sp,Digital Communications,"Viswanath, Pramod"
