Course,Instructor,Term,Title,NetId
ECE-333,"Gross, George",2014-fa,Green Electric Energy,gross
ECE-391,"Borisov, Nikita",2014-fa,Computer Systems Engineering,nikita
ECE-343,"Radhakrishnan, Chandrasek",2014-fa,Electronic Circuits Laboratory,
ECE-444,"Li, Xiuling",2018-sp,IC Device Theory & Fabrication,xiuling
ECE-445,"Carney, Paul S",2013-sp,Senior Design Project Lab,
ECE-313,"Lu, Yi",2018-sp,Probability with Engrg Applic,yilu4
ECE-198,"Kindratenko, Volodymyr",2014-fa,Introduction to Computer Eng,kindrtnk
ECE-534,"Srikant, Rayadurgam",2010-sp,Random Processes,rsrikant
ECE-329,"Goddard, Lynford L",2011-sp,Fields and Waves I,lgoddard
ECE-110,"Schmitz, Christopher",2016-fa,Introduction to Electronics,cdschmit
ECE-569,"Carney, Paul S",2014-fa,Inverse Problems in Optics,
ECE-517,"Liberzon, Daniel M",2015-fa,Nonlinear & Adaptive Control,liberzon
ECE-313,"Lu, Yi",2015-sp,Probability with Engrg Applic,yilu4
ECE-350,"Kudeki, Erhan",2017-fa,Fields and Waves II,erhan
ECE-549,"Hoiem, Derek W",2017-sp,Computer Vision,dhoiem
ECE-470,"Hutchinson, Seth A",2015-fa,Introduction to Robotics,seth
ECE-445,"Reinhard, Karl E",2017-fa,Senior Design Project Lab,
ECE-361,"Veeravalli, Venugopal V",2013-sp,Digital Communications,vvv
ECE-431,"Krein, Philip T",2014-sp,Electric Machinery,krein
ECE-340,"Leburton, Jean-Pierre",2012-sp,Semiconductor Electronics,jleburto
ECE-439,"Kravets, Robin H",2013-fa,Wireless Networks,rhk
ECE-535,"Leburton, Jean-Pierre",2014-fa,Theory of Semicond & Devices,jleburto
ECE-469,"Pilawa, Robert",2013-fa,Power Electronics Laboratory,
ECE-420,"Hasegawa-Johnso, Mark A",2015-fa,Embedded DSP Laboratory,
ECE-290,"Brown, Donna J",2013-sp,Computer Engineering I,djb
ECE-340,"Gilbert, Matthew",2014-sp,Semiconductor Electronics,matthewg
ECE-534,"Katselis, Dimitrios",2018-sp,Random Processes,katselis
ECE-551,"Dokmanic, Ivan",2018-fa,Digital Signal Processing II,dokmanic
ECE-342,"Schutt-Aine, Jose E",2013-sp,Electronic Circuits,jesa
ECE-515,"Mehta, Prashant G",2017-sp,Control System Theory & Design,mehtapg
ECE-420,"Do, Minh N",2013-sp,Embedded DSP Laboratory,minhdo
ECE-329,"Kudeki, Erhan",2012-sp,Fields and Waves I,erhan
ECE-198,"Herman, Geoffrey L",2013-fa,Introduction to Computer Eng,
ECE-304,"Choquette, Kent D",2018-fa,Photonic Devices,choquett
ECE-515,"Baryshnikov, Juliy",2014-fa,Control System Theory & Design,
ECE-101,"Schmitz, Christopher",2013-sp,Exploring Digital Info Technol,cdschmit
ECE-456,"Gao, Xingxin",2013-fa,Global Nav Satellite Systems,
ECE-329,"Dragic, Peter D",2016-sp,Fields and Waves I,p-dragic
ECE-561,"Veeravalli, Venugopal V",2014-sp,Detection & Estimation Theory,vvv
ECE-518,"Li, Xiuling",2015-fa,Adv Semiconductor Nanotech,xiuling
ECE-311,"Lim, Teck Yian",2017-sp,Digital Signal Processing Lab,
ECE-554,"Dominguez-Garci, Alejandr",2015-sp,Dynamic System Reliability,
ECE-110,"Frizzell, Leon A",2010-fa,Intro Elec & Computer Engrg,frizz
ECE-441,"Zhu, Wenjuan",2018-sp,Physcs & Modeling Semicond Dev,wjzhu
ECE-340,"Lee, Minjoo L",2018-sp,Semiconductor Electronics,mllee
ECE-490,"Kiyavash, Negar",2018-sp,Introduction to Optimization,
ECE-549,"Hoiem, Derek W",2011-sp,Computer Vision,dhoiem
ECE-470,"Bretl, Timothy W",2018-sp,Introduction to Robotics,tbretl
ECE-380,"Boppart, Stephen A",2014-sp,Biomedical Imaging,boppart
ECE-551,"Do, Minh N",2015-fa,Digital Signal Processing II,minhdo
ECE-329,"McKeown, Steven J",2013-fa,Fields and Waves I,
ECE-307,"Gross, George",2010-sp,Techniques for Engrg Decisions,gross
ECE-304,"Choquette, Kent D",2014-fa,Photonic Devices,choquett
ECE-342,"Rosenbaum, Elyse",2015-fa,Electronic Circuits,elyse
ECE-220,"Hu, Yih-Chun",2015-fa,Computer Systems & Programming,yihchun
